trade_sample_id,stock_code,event_date,benchmark_code,window_days,trading_status,included_in_official_score,included_in_deduped_trade_sample,stock_return_5d,benchmark_return_5d,excess_return_5d,stock_source,benchmark_source,stock_fetched_at,benchmark_fetched_at,stock_source_status,benchmark_source_status,data_quality,missing_reason
09926.HK|20260526|159557.SZ|5,9926.HK,2026-05-26,159557.SZ,5,market_data_audit_blocked,false,false,,,,processed,processed,2026-06-10T19:18:04,2026-06-10T19:18:02,latest_valid,source_conflict,market_data_audit_blocked,159557.SZ data_quality=source_conflict; reason=raw/cache/processed latest_date mismatch
06990.HK|20260529|159557.SZ|5,6990.HK,2026-05-29,159557.SZ,5,market_data_audit_blocked,false,false,,,,processed,processed,2026-06-10T19:18:05,2026-06-10T19:18:02,latest_valid,source_conflict,market_data_audit_blocked,159557.SZ data_quality=source_conflict; reason=raw/cache/processed latest_date mismatch
06990.HK|20260529|159557.SZ|5,6990.HK,2026-05-29,159557.SZ,5,market_data_audit_blocked,false,false,,,,processed,processed,2026-06-10T19:18:05,2026-06-10T19:18:02,latest_valid,source_conflict,market_data_audit_blocked,159557.SZ data_quality=source_conflict; reason=raw/cache/processed latest_date mismatch
09926.HK|20260531|159557.SZ|5,9926.HK,2026-05-31,159557.SZ,5,market_data_audit_blocked,false,false,,,,processed,processed,2026-06-10T19:18:04,2026-06-10T19:18:02,latest_valid,source_conflict,market_data_audit_blocked,159557.SZ data_quality=source_conflict; reason=raw/cache/processed latest_date mismatch
688192.SH|20260530|589720.SH|5,688192.SH,2026-05-30,589720.SH,5,market_data_audit_blocked,false,false,,,,processed,processed,2026-06-10T19:17:35,2026-06-10T19:18:03,stale,latest_valid,market_data_audit_blocked,688192.SH data_quality=stale; reason=latest_trade_date < report_trade_date
09966.HK|20260601|159557.SZ|5,9966.HK,2026-06-01,159557.SZ,5,market_data_audit_blocked,false,false,,,,processed,processed,2026-06-10T19:18:06,2026-06-10T19:18:02,latest_valid,source_conflict,market_data_audit_blocked,159557.SZ data_quality=source_conflict; reason=raw/cache/processed latest_date mismatch
02096.HK|20260602|159557.SZ|5,2096.HK,2026-06-02,159557.SZ,5,market_data_audit_blocked,false,false,,,,processed,processed,2026-06-10T19:18:06,2026-06-10T19:18:02,latest_valid,source_conflict,market_data_audit_blocked,159557.SZ data_quality=source_conflict; reason=raw/cache/processed latest_date mismatch
06855.HK|20260601|159557.SZ|5,6855.HK,2026-06-01,159557.SZ,5,market_data_audit_blocked,false,false,,,,processed,processed,2026-06-10T19:18:06,2026-06-10T19:18:02,latest_valid,source_conflict,market_data_audit_blocked,159557.SZ data_quality=source_conflict; reason=raw/cache/processed latest_date mismatch
06990.HK|20260603|159557.SZ|5,6990.HK,2026-06-03,159557.SZ,5,pending_not_enough_days,false,false,,,,processed,processed,2026-06-10T19:18:05,2026-06-10T19:18:02,latest_valid,source_conflict,pending_not_enough_days,事件未满5个完整交易日，尚未形成交易样本
01801.HK|20260604|159557.SZ|5,01801.HK,2026-06-04,159557.SZ,5,pending_not_enough_days,false,false,,,,processed,processed,2026-06-10T19:18:05,2026-06-10T19:18:02,latest_valid,source_conflict,pending_not_enough_days,事件未满5个完整交易日，尚未形成交易样本
